,customer lifetime value,response,income,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,total claim amount,state_Arizona,state_California,state_Nevada,state_Oregon,state_Washington,coverage_Basic,coverage_Extended,coverage_Premium,education_Bachelor,education_College,education_Doctor,education_High School or Below,education_Master,employmentstatus_Disabled,employmentstatus_Employed,employmentstatus_Medical Leave,employmentstatus_Retired,employmentstatus_Unemployed,gender_F,gender_M,location code_Rural,location code_Suburban,location code_Urban,marital status_Divorced,marital status_Married,marital status_Single,policy type_Corporate Auto,policy type_Personal Auto,policy type_Special Auto,renew offer type_Offer1,renew offer type_Offer2,renew offer type_Offer3,renew offer type_Offer4,sales channel_Agent,sales channel_Branch,sales channel_Call Center,sales channel_Web,vehicle class_Four-Door Car,vehicle class_Luxury Car,vehicle class_Luxury SUV,vehicle class_SUV,vehicle class_Sports Car,vehicle class_Two-Door Car,vehicle size_Large,vehicle size_Medsize,vehicle size_Small,Cluster
0,2763.519279,No,56274,69,32,5,0,1,384.811147,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Cluster 2
1,6979.535903,No,0,94,13,42,0,8,1131.464935,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 4
2,12887.43165,No,48767,108,18,38,0,2,566.4722469999999,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Cluster 4
3,7645.861827,No,0,106,18,65,0,7,529.881344,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Cluster 4
4,2813.692575,No,43836,73,12,44,0,1,138.130879,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 2
5,8256.2978,Yes,62902,69,14,94,0,2,159.383042,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Cluster 3
6,5380.898636,Yes,55350,67,0,13,0,9,321.6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 1
7,7216.100311,No,0,101,0,68,0,4,363.02968,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 0
8,24127.50402,Yes,14072,71,13,3,0,2,511.2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 1
9,7388.178085,No,28812,93,17,7,0,8,425.527834,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Cluster 4
10,4738.992021999999,No,0,67,23,5,0,3,482.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Cluster 1
11,8197.197078,No,0,110,27,87,0,3,528.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,Cluster 4
12,8798.797003,No,77026,110,9,82,2,3,472.029737,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Cluster 0
13,8819.018934,Yes,99845,110,23,25,1,8,528.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Cluster 4
